#,Title,Abstract,CPC Classifications,IPCR Classifications,Combined,Keyphrases
48,Polyester/acrylic textile product,"A polyester yarn is knitted with at least a shrinkable acrylic yarn, the product is shrunk and then set without stretching it either in width or length. Prefd. continuous filament polyester and an acrylic yarn with cut or split fibres are used. The shrinkable acrylic yarn may be premixed with another, pref. short fibre, textile material. The shrinkage stage may take place at 150-180 degrees C. The process yields a knitted fabric sufficiently ladder-proof to be used for men's suits.",D02G1/18,D04B1/08;;D02G1/18,"Polyester/acrylic textile product A polyester yarn is knitted with at least a shrinkable acrylic yarn, the product is shrunk and then set without stretching it either in width or length. Prefd. continuous filament polyester and an acrylic yarn with cut or split fibres are used. The shrinkable acrylic yarn may be premixed with another, pref. short fibre, textile material. The shrinkage stage may take place at 150-180 degrees C. The process yields a knitted fabric sufficiently ladder-proof to be used for men's suits.",
49,FLAME RESISTANT SPUN STAPLE YARNS MADE FROM BLENDS OF FIBERS DERIVED FROM DIAMINO DIPHENYL SULFONE AND MODACRYLIC FIBERS AND FABRICS AND GARMENTS MADE THEREFROM AND METHODS FOR MAKING SAME,,D02G3/443;;D10B2321/101;;Y10S428/92;;Y10S428/921;;Y10T428/24314;;Y10T428/2913;;Y10T428/2915;;Y10T442/3984;;D02G3/443;;D10B2321/101;;Y10S428/92;;Y10S428/921;;Y10T428/24314;;Y10T428/2913;;Y10T428/2915;;Y10T442/3984,D01F6/76;;D01F6/80;;D02G3/04,,
50,Acrylic acid textile size and preparation method thereof,"The invention relates to an acrylic acid textile size and a preparation method thereof. Raw materials of the size include methyl acrylate (MA), butyl acrylate (BA), acrylic acid (AA), acrylamide (AM), ammonium persulfate (APS), a composite emulsifier, ammonia water and deionized water, wherein the composite emulsifier is a mixture of AEO-5 and AEO-7. The size prepared with the method has high adhesion, low hydroscopic property and high water solubility.",,C08F220/18;;C08F2/30;;C08F220/06;;C08F220/14;;C08F220/56;;D06M15/263,"Acrylic acid textile size and preparation method thereof The invention relates to an acrylic acid textile size and a preparation method thereof. Raw materials of the size include methyl acrylate (MA), butyl acrylate (BA), acrylic acid (AA), acrylamide (AM), ammonium persulfate (APS), a composite emulsifier, ammonia water and deionized water, wherein the composite emulsifier is a mixture of AEO-5 and AEO-7. The size prepared with the method has high adhesion, low hydroscopic property and high water solubility.",
51,Flame-resistant and high visibility fabric and apparel formed therefrom,"A yarn, fabric, and apparel formed from modacrylic fibers and high energy absorptive fibers. When the yarn is formed into a fabric comprised substantially of the yarn, the fabric meets the American Society for Testing and Materials standard for flame resistance and the National Fire Protection Association standard for arc thermal performance exposure.",D06P3/8271;;D02G3/047;;D02G3/346;;D02G3/443;;D03D15/283;;D03D15/47;;D03D15/50;;D03D15/513;;D03D15/547;;D03D15/573;;D04B1/16;;D06P3/242;;D06P3/76;;D10B2321/101;;D10B2331/021;;D10B2401/063;;D10B2401/14;;D10B2501/04;;Y10S428/92;;Y10S428/921;;Y10T428/2913;;Y10T428/2915;;Y10T442/2582;;Y10T442/2861;;Y10T442/2885;;D06P3/8271;;D02G3/047;;D02G3/346;;D02G3/443;;D03D15/283;;D03D15/47;;D03D15/50;;D03D15/513;;D03D15/547;;D03D15/573;;D04B1/16;;D06P3/242;;D06P3/76;;D10B2321/101;;D10B2331/021;;D10B2401/063;;D10B2401/14;;D10B2501/04;;Y10S428/92;;Y10S428/921;;Y10T428/2913;;Y10T428/2915;;Y10T442/2582;;Y10T442/2861;;Y10T442/2885,D02G3/34;;D02G3/44;;D03D15/00;;D04B1/16;;D06P3/24;;D06P3/76;;D06P3/82,"Flame-resistant and high visibility fabric and apparel formed therefrom A yarn, fabric, and apparel formed from modacrylic fibers and high energy absorptive fibers. When the yarn is formed into a fabric comprised substantially of the yarn, the fabric meets the American Society for Testing and Materials standard for flame resistance and the National Fire Protection Association standard for arc thermal performance exposure.",
52,AIRBAG PATCH CLOTH,,D03D1/02;;B60R21/232;;B60R21/235;;D03D13/008;;D03D15/283;;D03D15/573;;D10B2331/04;;D10B2505/124;;D10B2331/02;;D03D15/283;;D03D1/02;;D03D13/008;;D10B2331/02;;D10B2401/063;;D10B2505/124,D03D1/02;;B60R21/232;;B60R21/235,,
53,FLAME-RETARDANT FABRIC AND WORK CLOTHING USING THE SAME,"The present disclosure relates to a flame-retardant fabric that includes a modacrylic fiber and a cellulose fiber. The cellulose fiber is one or more selected from a regenerated cellulose fiber and a natural cellulose fiber. The flame-retardant fabric contains the modacrylic fiber in an amount of 65 to 90 wt % and the cellulose fiber in an amount of 10 to 35 wt % with respect to the overall weight of the fabric. The modacrylic fiber contains a magnesium compound inside the fiber. The flame-retardant fabric contains the magnesium compound in an amount of 2.5 to 4.5 wt %. Afterflame time and afterglow time of the flame-retardant fabric measured using a flammability test based on ISO 15025: 2000 are 2 seconds or less and 2 seconds or less, respectively.",A41D13/00;;A41D31/04;;A41D31/08;;A41D31/00;;D01F1/07;;D01F6/40;;D03D15/20;;D03D15/47;;D04B1/16;;A41D31/08;;A41D13/00;;A41D2400/00;;A41D2500/10;;A41D2600/20;;D01F6/36;;D01F6/40;;D04B1/16;;D04B1/24;;D04B21/16;;D04B21/207;;D10B2201/01;;D10B2201/22;;D10B2321/101;;D10B2401/04;;D10B2501/04,D01F6/40;;A41D13/00;;A41D31/08;;D01F6/36;;D04B1/16;;D04B1/24;;D04B21/16;;D04B21/20,"FLAME-RETARDANT FABRIC AND WORK CLOTHING USING THE SAME The present disclosure relates to a flame-retardant fabric that includes a modacrylic fiber and a cellulose fiber. The cellulose fiber is one or more selected from a regenerated cellulose fiber and a natural cellulose fiber. The flame-retardant fabric contains the modacrylic fiber in an amount of 65 to 90 wt % and the cellulose fiber in an amount of 10 to 35 wt % with respect to the overall weight of the fabric. The modacrylic fiber contains a magnesium compound inside the fiber. The flame-retardant fabric contains the magnesium compound in an amount of 2.5 to 4.5 wt %. Afterflame time and afterglow time of the flame-retardant fabric measured using a flammability test based on ISO 15025: 2000 are 2 seconds or less and 2 seconds or less, respectively.",
54,Breathable polyester textile knapsack,"The utility model discloses a breathable polyester textile knapsack which comprises a main bag, a hand strap is sewn on the front side of the top of the main bag, a first zipper is arranged in the middle of the surface of the main bag, side bags are sewn at the bottoms of the left side and the right side of the main bag, breathable covers are fixedly bonded on the left side face and the right side face of the main bag, and a first zipper is arranged in the middle of the surface of the main bag. The breathable cover is located on the front side of the first zipper, breathable holes are formed in the left side face and the right side face of the main bag and located in the breathable cover in a penetrating mode, an auxiliary bag is sewn to the rear side of the main bag, a second zipper is arranged in the middle of the surface of the auxiliary bag, and shoulder straps are sewn to the top of the front side face of the main bag. When the backpack is used, the effect that the contact face of the body of a user and the backpack is rapidly cooled is achieved, the breathability of the backpack is improved, the contact face of the body of the user and the backpack is conveniently and timely ventilated and dried, the use experience of the user is improved, sweat retention is reduced, and physical and psychological health of the user is effectively guaranteed.",,A45F3/04,"Breathable polyester textile knapsack The utility model discloses a breathable polyester textile knapsack which comprises a main bag, a hand strap is sewn on the front side of the top of the main bag, a first zipper is arranged in the middle of the surface of the main bag, side bags are sewn at the bottoms of the left side and the right side of the main bag, breathable covers are fixedly bonded on the left side face and the right side face of the main bag, and a first zipper is arranged in the middle of the surface of the main bag. The breathable cover is located on the front side of the first zipper, breathable holes are formed in the left side face and the right side face of the main bag and located in the breathable cover in a penetrating mode, an auxiliary bag is sewn to the rear side of the main bag, a second zipper is arranged in the middle of the surface of the auxiliary bag, and shoulder straps are sewn to the top of the front side face of the main bag. When the backpack is used, the effect that the contact face of the body of a user and the backpack is rapidly cooled is achieved, the breathability of the backpack is improved, the contact face of the body of the user and the backpack is conveniently and timely ventilated and dried, the use experience of the user is improved, sweat retention is reduced, and physical and psychological health of the user is effectively guaranteed.",
55,"TEXTILE PRODUCT, METHOD FOR PRODUCING SAID TEXTILE PRODUCT AND USES OF SAID TEXTILE PRODUCT",,D04H1/54;;B29D99/0092;;D01F6/92;;D04H1/435;;D04H1/5412;;D04H1/5418;;D04H1/558;;D04H1/56;;D04H1/5412;;D04H1/5418,D04H1/00;;B29C43/00;;B29D99/00;;B68G7/02;;D01F6/62;;D04H1/435;;D04H1/54;;D04H1/541,,
56,Flame-retardant polyester fiber composite textile,"The invention provides a flame-retardant polyester fiber composite textile. The flame-retardant polyester fiber composite textile is prepared from blended yarns of polyester fibers, aramid fibers and nickel-iron fibers, wherein the polyester fibers are flame-retardant modified polyester fibers; and the weight ratio of the polyester fibers to the aramid fibers to the nickel-iron fibers is (2-4) to (1-3) to 1. According to the flame-retardant polyester fiber composite textile provided by the invention, the composite textile obtained through a structural design of the textile has a good flame retardant property.",D03D15/513;;D01F1/07;;D02G3/04;;D04B1/14;;D04B21/00;;D10B2101/20;;D10B2331/021;;D10B2331/04,D01F1/07;;D02G3/04;;D03D15/25;;D03D15/283;;D03D15/47;;D03D15/513;;D04B1/14;;D04B21/00,"Flame-retardant polyester fiber composite textile The invention provides a flame-retardant polyester fiber composite textile. The flame-retardant polyester fiber composite textile is prepared from blended yarns of polyester fibers, aramid fibers and nickel-iron fibers, wherein the polyester fibers are flame-retardant modified polyester fibers; and the weight ratio of the polyester fibers to the aramid fibers to the nickel-iron fibers is (2-4) to (1-3) to 1. According to the flame-retardant polyester fiber composite textile provided by the invention, the composite textile obtained through a structural design of the textile has a good flame retardant property.",
57,Acrylic-covered spandex yarn,"An acrylic-covered spandex yarn, a method for producing the same, and textiles and garments made from the same. Specially modified acrylic yarn is substituted for nylon yarn in a conventional process for making nylon-covered spandex. Surprisingly, the process parameters are substantially the same as for nylon yarn, despite the inferior flex fatigue resistance and abrasion resistance of the acrylic yarn compared to those of the nylon yarn.",D02G3/328;;Y10T428/2913;;Y10T428/2929;;Y10T428/2936;;Y10T428/2967;;Y10T442/3024;;Y10T442/313;;Y10T442/3146;;Y10T442/413;;Y10T442/438;;Y10T442/444;;D02G3/328;;Y10T428/2913;;Y10T428/2929;;Y10T428/2936;;Y10T428/2967;;Y10T442/3024;;Y10T442/313;;Y10T442/3146;;Y10T442/413;;Y10T442/438;;Y10T442/444,D02G3/32;;D02G3/38,"Acrylic-covered spandex yarn An acrylic-covered spandex yarn, a method for producing the same, and textiles and garments made from the same. Specially modified acrylic yarn is substituted for nylon yarn in a conventional process for making nylon-covered spandex. Surprisingly, the process parameters are substantially the same as for nylon yarn, despite the inferior flex fatigue resistance and abrasion resistance of the acrylic yarn compared to those of the nylon yarn.",
